Institute,Sector,Positive,Negative,Score,Final Score
ROC Koning Willem I,Sectorunit zakelijke dienstverlening en veiligheid,1.0,5.0,0.71875,Positive
ROC Koning Willem I,"Sectorunit zorg, welzijn en sport",0.0,2.0,0.75,Positive
Kuva Opleidingen,Sectorunit zakelijke dienstverlening en veiligheid,0.0,2.0,0.75,Positive
Landsted,Sectorunit creatieve industrie en ICT,1.0,7.0,0.7421875,Positive
Landsted,Sectorunit handel,0.0,6.0,0.984375,Positive
Landsted,"Sectorunit mobiliteit, transport, logistiek, maritiem",0.0,2.0,0.75,Positive
Landsted,Sectorunit techniek en gebouwde omgeving,0.0,2.0,0.75,Positive
Landsted,"Sectorunit voedsel, groen en gastvrijheid",3.0,3.0,0.125,Negative
Landsted,Sectorunit zakelijke dienstverlening en veiligheid,0.0,4.0,0.9375,Positive
Landsted,"Sectorunit zorg, welzijn en sport",2.0,9.0,0.498046875,Negative
Laurentius College B.V.,"Sectorunit mobiliteit, transport, logistiek, maritiem",0.0,1.0,0.5,Positive
Leidse Instrumentmakers School,Sectorunit techniek en gebouwde omgeving,2.0,0.0,0.0,Negative
Lentiz,"Sectorunit voedsel, groen en gastvrijheid",0.0,4.0,0.9375,Positive
M & M Opleidingen,Sectorunit zakelijke dienstverlening en veiligheid,1.0,0.0,0.25,Negative
MBO Amersfoort,Sectorunit handel,3.0,4.0,0.1875,Negative
MBO Amersfoort,"Sectorunit mobiliteit, transport, logistiek, maritiem",0.0,2.0,0.75,Positive
MBO Amersfoort,Sectorunit zakelijke dienstverlening en veiligheid,0.0,1.0,0.5,Positive
MBO Amersfoort,"Sectorunit zorg, welzijn en sport",2.0,5.0,0.46875,Negative
MBO Amersfoort,Specialistisch vakmanschap ,2.0,0.0,0.0,Negative
MBO Utrecht,Sectorunit creatieve industrie en ICT,5.0,1.0,-0.75,Negative
MBO Utrecht,Sectorunit handel,1.0,0.0,0.25,Negative
MBO Utrecht,Sectorunit zakelijke dienstverlening en veiligheid,1.0,4.0,0.6875,Positive
MBO Utrecht,"Sectorunit zorg, welzijn en sport",5.0,1.0,-0.75,Negative
Marlijn Academie,Sectorunit techniek en gebouwde omgeving,0.0,2.0,0.75,Positive
Mediacollege Amsterdam,Sectorunit creatieve industrie en ICT,3.0,7.0,0.2421875,Negative
Motivation Beveiligingsopleidingen en adviezen,Sectorunit zakelijke dienstverlening en veiligheid,1.0,0.0,0.25,Negative
NCOI Opleidingsgroep b.v.,Sectorunit creatieve industrie en ICT,2.0,0.0,0.0,Negative
NCOI Opleidingsgroep b.v.,"Sectorunit mobiliteit, transport, logistiek, maritiem",7.0,0.0,-1.25,Negative
NCOI Opleidingsgroep b.v.,Sectorunit techniek en gebouwde omgeving,2.0,0.0,0.0,Negative
NCOI Opleidingsgroep b.v.,"Sectorunit voedsel, groen en gastvrijheid",2.0,0.0,0.0,Negative
NCOI Opleidingsgroep b.v.,Sectorunit zakelijke dienstverlening en veiligheid,2.0,0.0,0.0,Negative
NCOI Opleidingsgroep b.v.,"Sectorunit zorg, welzijn en sport",2.0,0.0,0.0,Negative
Nationale Handelsacademie,Sectorunit zakelijke dienstverlening en veiligheid,0.0,4.0,0.9375,Positive
Nationale Handelsacademie,"Sectorunit zorg, welzijn en sport",0.0,4.0,0.9375,Positive
Nautical Technical Training Academy,"Sectorunit mobiliteit, transport, logistiek, maritiem",4.0,0.0,-0.5,Negative
Nederlands Talen Instituut,Sectorunit zakelijke dienstverlening en veiligheid,0.0,1.0,0.5,Positive
Nederlands Talen Instituut,"Sectorunit zorg, welzijn en sport",0.0,3.0,0.875,Positive
New School Routing Academy,Sectorunit handel,0.0,1.0,0.5,Positive
Nimeto,Sectorunit creatieve industrie en ICT,0.0,1.0,0.5,Positive
Nimeto,Sectorunit techniek en gebouwde omgeving,0.0,1.0,0.5,Positive
Noorderpoort College,Sectorunit creatieve industrie en ICT,0.0,1.0,0.5,Positive
Noorderpoort College,"Sectorunit mobiliteit, transport, logistiek, maritiem",0.0,1.0,0.5,Positive
Noorderpoort College,Sectorunit zakelijke dienstverlening en veiligheid,0.0,1.0,0.5,Positive
Noorderpoort College,"Sectorunit zorg, welzijn en sport",0.0,2.0,0.75,Positive
Nordwin College,"Sectorunit voedsel, groen en gastvrijheid",8.0,2.0,-1.25,Negative
ORGB Opleidingen,"Sectorunit mobiliteit, transport, logistiek, maritiem",0.0,1.0,0.5,Positive
ORGB Opleidingen,Sectorunit zakelijke dienstverlening en veiligheid,0.0,1.0,0.5,Positive
