Institute,Sector,Positive,Negative,Score,Final Score
NationaleHandelsacademie,Zakelijke dienstverlening en veiligheid,0.0,4.0,0.9375,Positive
NationaleHandelsacademie,"Zorg, welzijn en sport",0.0,4.0,0.9375,Positive
Nautical Technical Training Academy," Mobiliteit, transport, logistiek, maritiem",4.0,0.0,-0.5,Negative
Nederlands Talen Instituut,Zakelijke dienstverlening en veiligheid,0.0,1.0,0.5,Positive
Nederlands Talen Instituut,"Zorg, welzijn en sport",0.0,3.0,0.875,Positive
New School Routing Academy,Handel,0.0,1.0,0.5,Positive
Nimeto,Creatieve industrie en ICT,0.0,1.0,0.5,Positive
Nimeto,Techniek en gebouwde omgeving,0.0,1.0,0.5,Positive
Noorderpoort College,Creatieve industrie en ICT,0.0,1.0,0.5,Positive
Noorderpoort College," Mobiliteit, transport, logistiek, maritiem",0.0,1.0,0.5,Positive
Noorderpoort College,Zakelijke dienstverlening en veiligheid,0.0,1.0,0.5,Positive
Noorderpoort College,"Zorg, welzijn en sport",0.0,2.0,0.75,Positive
Nordwin College,"Voedsel, groen en gastvrijheid",8.0,2.0,-1.25,Negative
ORGB Opleidingen," Mobiliteit, transport, logistiek, maritiem",0.0,1.0,0.5,Positive
ORGB Opleidingen,Zakelijke dienstverlening en veiligheid,0.0,1.0,0.5,Positive
Opleidingsinstituut voor Politie- en Beveiligingspersoneel BV,Zakelijke dienstverlening en veiligheid,0.0,1.0,0.5,Positive
Philipse,Handel,0.0,1.0,0.5,Positive
Prive Coiffures Vakopleiding,"Voedsel, groen en gastvrijheid",0.0,2.0,0.75,Positive
Profit Opleidingen,"Zorg, welzijn en sport",0.0,2.0,0.75,Positive
ROC Friese Poort,Creatieve industrie en ICT,2.0,9.0,0.498046875,Negative
ROC Friese Poort," Mobiliteit, transport, logistiek, maritiem",0.0,2.0,0.75,Positive
ROC Friese Poort,Techniek en gebouwde omgeving,0.0,2.0,0.75,Positive
ROC Friese Poort,Zakelijke dienstverlening en veiligheid,0.0,1.0,0.5,Positive
ROC Friese Poort,"Zorg, welzijn en sport",0.0,2.0,0.75,Positive
ROC Horizon College,Creatieve industrie en ICT,0.0,3.0,0.875,Positive
ROC Horizon College,Handel,1.0,0.0,0.25,Negative
ROC Horizon College," Mobiliteit, transport, logistiek, maritiem",1.0,0.0,0.25,Negative
ROC Horizon College,Zakelijke dienstverlening en veiligheid,1.0,6.0,0.734375,Positive
ROC Horizon College,"Zorg, welzijn en sport",1.0,0.0,0.25,Negative
ROC ROC Kop van Noord-Holland,Handel,0.0,1.0,0.5,Positive
ROC ROC Kop van Noord-Holland,Zakelijke dienstverlening en veiligheid,0.0,2.0,0.75,Positive
ROC ROC Kop van Noord-Holland,"Zorg, welzijn en sport",0.0,2.0,0.75,Positive
ROC Leeuwenborgh,Creatieve industrie en ICT,0.0,2.0,0.75,Positive
ROC Leeuwenborgh,Handel,0.0,1.0,0.5,Positive
ROC Leeuwenborgh,Techniek en gebouwde omgeving,0.0,1.0,0.5,Positive
ROC Leeuwenborgh,"Voedsel, groen en gastvrijheid",0.0,1.0,0.5,Positive
ROC Leeuwenborgh,Zakelijke dienstverlening en veiligheid,1.0,2.0,0.5,Positive
ROC Leeuwenborgh,"Zorg, welzijn en sport",2.0,4.0,0.4375,Negative
ROC Leiden,Creatieve industrie en ICT,3.0,4.0,0.1875,Negative
ROC Leiden,Handel,1.0,0.0,0.25,Negative
ROC Leiden," Mobiliteit, transport, logistiek, maritiem",1.0,0.0,0.25,Negative
ROC Leiden,Techniek en gebouwde omgeving,2.0,3.0,0.375,Negative
ROC Leiden,"Voedsel, groen en gastvrijheid",2.0,1.0,0.0,Negative
ROC Leiden,Zakelijke dienstverlening en veiligheid,2.0,2.0,0.25,Negative
ROC Leiden,"Zorg, welzijn en sport",5.0,4.0,-0.3125,Negative
ROC Menso Alting,Handel,1.0,0.0,0.25,Negative
ROC Menso Alting,"Zorg, welzijn en sport",2.0,0.0,0.0,Negative
ROC Midden Nederland,Creatieve industrie en ICT,0.0,3.0,0.875,Positive
ROC Midden Nederland,Handel,0.0,1.0,0.5,Positive
ROC Midden Nederland,Techniek en gebouwde omgeving,0.0,1.0,0.5,Positive
ROC Midden Nederland,"Voedsel, groen en gastvrijheid",0.0,1.0,0.5,Positive
ROC Midden Nederland,"Zorg, welzijn en sport",0.0,4.0,0.9375,Positive
ROC Mondriaan,Creatieve industrie en ICT,0.0,1.0,0.5,Positive
ROC Mondriaan," Mobiliteit, transport, logistiek, maritiem",0.0,1.0,0.5,Positive
ROC Mondriaan,"Voedsel, groen en gastvrijheid",2.0,1.0,0.0,Negative
ROC Nijmegen eo,Bovensectoraal,0.0,1.0,0.5,Positive
ROC Nijmegen eo,Creatieve industrie en ICT,0.0,4.0,0.9375,Positive
ROC Nijmegen eo,Handel,0.0,2.0,0.75,Positive
ROC Nijmegen eo,"Voedsel, groen en gastvrijheid",0.0,6.0,0.984375,Positive
ROC Nijmegen eo,Zakelijke dienstverlening en veiligheid,0.0,2.0,0.75,Positive
ROC Nijmegen eo,"Zorg, welzijn en sport",0.0,6.0,0.984375,Positive
ROC Regio College,Creatieve industrie en ICT,0.0,2.0,0.75,Positive
ROC Regio College," Mobiliteit, transport, logistiek, maritiem",0.0,1.0,0.5,Positive
ROC Regio College,"Voedsel, groen en gastvrijheid",0.0,5.0,0.96875,Positive
ROC Regio College,Zakelijke dienstverlening en veiligheid,0.0,1.0,0.5,Positive
ROC Regio College,"Zorg, welzijn en sport",5.0,5.0,-0.28125,Negative
ROC Rivor,Handel,1.0,2.0,0.5,Positive
ROC Rivor,Zakelijke dienstverlening en veiligheid,1.0,0.0,0.25,Negative
ROC Rivor,"Zorg, welzijn en sport",0.0,3.0,0.875,Positive
ROC Ter AA,Handel,0.0,2.0,0.75,Positive
ROC Ter AA,Techniek en gebouwde omgeving,0.0,5.0,0.96875,Positive
ROC Ter AA,Zakelijke dienstverlening en veiligheid,0.0,1.0,0.5,Positive
ROC Ter AA,"Zorg, welzijn en sport",0.0,3.0,0.875,Positive
ROC Tilburg,Handel,0.0,1.0,0.5,Positive
ROC Tilburg,"Voedsel, groen en gastvrijheid",1.0,0.0,0.25,Negative
ROC Tilburg,Zakelijke dienstverlening en veiligheid,0.0,1.0,0.5,Positive
ROC Tilburg,"Zorg, welzijn en sport",2.0,3.0,0.375,Negative
ROC West-Brabant Prinsentuin College,"Voedsel, groen en gastvrijheid",7.0,6.0,-0.765625,Negative
ROC West-Brabant," Mobiliteit, transport, logistiek, maritiem",0.0,1.0,0.5,Positive
ROC West-Brabant,Techniek en gebouwde omgeving,0.0,10.0,0.9990234375,Positive
ROC West-Brabant,"Voedsel, groen en gastvrijheid",2.0,3.0,0.375,Negative
ROC West-Brabant,"Zorg, welzijn en sport",0.0,2.0,0.75,Positive
ROC de Leijgraaf,Creatieve industrie en ICT,0.0,1.0,0.5,Positive
ROC de Leijgraaf,Handel,0.0,2.0,0.75,Positive
ROC de Leijgraaf," Mobiliteit, transport, logistiek, maritiem",0.0,5.0,0.96875,Positive
ROC de Leijgraaf,Techniek en gebouwde omgeving,1.0,0.0,0.25,Negative
ROC de Leijgraaf,"Zorg, welzijn en sport",2.0,1.0,0.0,Negative
ROC van Amsterdam,Bovensectoraal,5.0,0.0,-0.75,Negative
ROC van Amsterdam,Creatieve industrie en ICT,0.0,3.0,0.875,Positive
ROC van Amsterdam,Handel,3.0,2.0,0.0,Negative
ROC van Amsterdam,"Zorg, welzijn en sport",0.0,2.0,0.75,Positive
ROC Flevoland,Creatieve industrie en ICT,0.0,1.0,0.5,Positive
ROC Flevoland,Handel,1.0,0.0,0.25,Negative
ROC Flevoland,Techniek en gebouwde omgeving,1.0,0.0,0.25,Negative
ROC Flevoland,"Voedsel, groen en gastvrijheid",1.0,0.0,0.25,Negative
ROC Flevoland,Zakelijke dienstverlening en veiligheid,0.0,2.0,0.75,Positive
ROC Flevoland,"Zorg, welzijn en sport",1.0,0.0,0.25,Negative
ROC van Twente,Handel,0.0,1.0,0.5,Positive
ROC van Twente," Mobiliteit, transport, logistiek, maritiem",0.0,1.0,0.5,Positive
ROC van Twente,Techniek en gebouwde omgeving,0.0,1.0,0.5,Positive
ROC van Twente,Zakelijke dienstverlening en veiligheid,0.0,1.0,0.5,Positive
ROC van Twente,"Zorg, welzijn en sport",1.0,2.0,0.5,Positive
ROVC Technische opleidingen B.V.,Techniek en gebouwde omgeving,4.0,0.0,-0.5,Negative
Rijn IJssel,Creatieve industrie en ICT,0.0,5.0,0.96875,Positive
Rijn IJssel,Handel,0.0,1.0,0.5,Positive
Rijn IJssel,Techniek en gebouwde omgeving,0.0,1.0,0.5,Positive
Rijn IJssel,"Zorg, welzijn en sport",0.0,7.0,0.9921875,Positive
SBK Opleidingen B.V.,Techniek en gebouwde omgeving,0.0,2.0,0.75,Positive
SOMA College,Techniek en gebouwde omgeving,0.0,2.0,0.75,Positive
SVOZ Opleidingen in de Zorg,"Zorg, welzijn en sport",0.0,1.0,0.5,Positive
Scalda,"Voedsel, groen en gastvrijheid",0.0,1.0,0.5,Positive
Scalda,Zakelijke dienstverlening en veiligheid,0.0,2.0,0.75,Positive
Scalda,"Zorg, welzijn en sport",2.0,0.0,0.0,Negative
Scheepvaart en Transport College," Mobiliteit, transport, logistiek, maritiem",9.0,2.0,-1.5,Negative
Scheidegger Opleidingen Nederland B.V.,Creatieve industrie en ICT,2.0,0.0,0.0,Negative
Scheidegger Opleidingen Nederland B.V.,"Voedsel, groen en gastvrijheid",2.0,0.0,0.0,Negative
Scheidegger Opleidingen Nederland B.V.,"Zorg, welzijn en sport",5.0,0.0,-0.75,Negative
De Rooi Pannen,Bovensectoraal,0.0,1.0,0.5,Positive
De Rooi Pannen,Creatieve industrie en ICT,0.0,5.0,0.96875,Positive
De Rooi Pannen,Handel,0.0,2.0,0.75,Positive
De Rooi Pannen,"Voedsel, groen en gastvrijheid",0.0,8.0,0.99609375,Positive
Scholings Trainings en Opleidings Centrum STOC B.V.,"Zorg, welzijn en sport",0.0,1.0,0.5,Positive
SintLucas,Creatieve industrie en ICT,0.0,2.0,0.75,Positive
Smink Culinair,"Voedsel, groen en gastvrijheid",0.0,1.0,0.5,Positive
Stichting Beroepsopleiding Procesindustrie (BEPRO),Bovensectoraal,0.0,1.0,0.5,Positive
Stichting Beroepsopleiding Procesindustrie (BEPRO),Techniek en gebouwde omgeving,0.0,2.0,0.75,Positive
Stichting De Nederlandse Fotovakschool,Creatieve industrie en ICT,0.0,1.0,0.5,Positive
ROC TOP,Creatieve industrie en ICT,0.0,1.0,0.5,Positive
ROC TOP,Handel,0.0,3.0,0.875,Positive
ROC TOP,Zakelijke dienstverlening en veiligheid,1.0,0.0,0.25,Negative
ROC TOP,"Zorg, welzijn en sport",6.0,0.0,-1.0,Negative
Stichting Vakopleiding Techniek,Techniek en gebouwde omgeving,1.0,1.0,0.25,Negative
Summa College,Handel,0.0,2.0,0.75,Positive
Summa College,Techniek en gebouwde omgeving,2.0,2.0,0.25,Negative
Summa College,Zakelijke dienstverlening en veiligheid,2.0,0.0,0.0,Negative
Summa College,"Zorg, welzijn en sport",0.0,2.0,0.75,Positive
Supplement B.V.,"Zorg, welzijn en sport",2.0,0.0,0.0,Negative
Terra opleidingen B.V.,"Voedsel, groen en gastvrijheid",1.0,0.0,0.25,Negative
AOC Terra,"Voedsel, groen en gastvrijheid",1.0,5.0,0.71875,Positive
Tio,Handel,0.0,2.0,0.75,Positive
Trainings- en buitensportcentrum De Voshaar,"Zorg, welzijn en sport",0.0,1.0,0.5,Positive
VAKschool Pedagogisch Werk B.V.,"Zorg, welzijn en sport",0.0,1.0,0.5,Positive
VIBO Groep VOF," Mobiliteit, transport, logistiek, maritiem",1.0,0.0,0.25,Negative
Variva Opleidingen,"Zorg, welzijn en sport",0.0,2.0,0.75,Positive
Veneberg Beveiligings Opl.,Zakelijke dienstverlening en veiligheid,0.0,1.0,0.5,Positive
Wellantcollege,Bovensectoraal,1.0,1.0,0.25,Negative
Wellantcollege,"Voedsel, groen en gastvrijheid",6.0,7.0,-0.5078125,Negative
ROC Zadkine,Bovensectoraal,0.0,1.0,0.5,Positive
ROC Zadkine,Creatieve industrie en ICT,0.0,1.0,0.5,Positive
ROC Zadkine,Handel,0.0,2.0,0.75,Positive
ROC Zadkine," Mobiliteit, transport, logistiek, maritiem",5.0,0.0,-0.75,Negative
ROC Zadkine,Techniek en gebouwde omgeving,2.0,9.0,0.498046875,Negative
ROC Zadkine,"Voedsel, groen en gastvrijheid",0.0,1.0,0.5,Positive
ROC Zadkine,Zakelijke dienstverlening en veiligheid,0.0,8.0,0.99609375,Positive
ROC Zadkine,"Zorg, welzijn en sport",1.0,5.0,0.71875,Positive
Zorg en Werk Academy,"Zorg, welzijn en sport",0.0,1.0,0.5,Positive
Zorgcampus Rotterdam,"Zorg, welzijn en sport",0.0,1.0,0.5,Positive
Zorgcollege,"Zorg, welzijn en sport",1.0,1.0,0.25,Negative
