college,lat,lon,BRIN
IMKO Opleidingen, 52.028040, 4.650145 
Instituut Broers BV, 51.542563, 5.078460
Instituut Memo, 52.143830, 5.396092
Instituut Penso Garmes, 51.840228, 5.859776
Internationaal Opleidingsinstituut Thomas, 51.6865, 5.3056
IPro Safety, 52.126016, 4.635525
IVA Driebergen Business School, 52.049286, 5.287697
Kappers Akademie Professioneel (KAP), 51.958439, 5.969016 
Kappersacademie Hair Point, 52.062305, 4.259585 
Kappersacademie, 50.886783, 5.976203
Kappersopleiding Doetinchem, 51.966980, 6.292831
Kappersschool van Wetten, 51.529042, 5.635673
KCL Kappers College Limburg BV, 51.001153, 5.859802 
ROC Koning Willem I, 51.6840, 5.2870, 04FO
KOS Kappersopleidingen, 51.5613, 5.1017
Kuva Opleidingen, 51.857216, 4.551213
Landsted, 52.5220, 6.1236, 01AA
Laurentius College B.V., 52.305760, 4.753299
Leidse Instrumentmakers School, 52.1676, 4.4581, 02OV
Lentiz, 51.907441, 4.368488, 14YD  
M & M Opleidingen,52.379122, 5.222247
Marlijn Academie, 51.647659, 4.649978
MBO Amersfoort, 52.147574, 5.383617, 30RR  
MBO Utrecht, 52.0646, 5.1023, 30RN
Mediacollege Amsterdam, 52.3910, 4.8570, 02PA
Motivation Beveiligingsopleidingen en adviezen, 51.786862, 4.652189
Nationale Handelsacademie, 51.334118, 5.978196
Nautical Technical Training Academy, 53.213648, 6.539276
NCOI Opleidingsgroep b.v., 52.2105, 5.1931
Nederlands Talen Instituut, 52.1666, 4.4853
New School Routing Academy, 52.336398, 6.294740
Nimeto, 52.1006, 5.1411, 02PK
NLeducatie, 52.390843, 4.904219
Noorderpoort College, 53.207377, 6.555953, 25LW 
Nordwin College, 53.198069, 5.801026, 12VI
Opleidingsinstituut voor Politie- en Beveiligingspersoneel BV, 50.996997, 5.864930
ORGB Opleidingen, 51.157882, 5.939662
Philipse, 52.027780, 5.156387
Prive Coiffures Vakopleiding, 52.640673, 5.055626
Profit Opleidingen, 52.490712, 6.138214
Rijn IJssel, 51.996046, 5.891180, 25LF 
ROC de Leijgraaf, 51.621280, 5.563444, 28DE
ROC Friese Poort,53.187123, 5.798142, 08PG
ROC Horizon College, 52.639662, 4.743264, 25PT
ROC ROC Kop van Noord-Holland,52.952380, 4.763707, 4EU
ROC Leeuwenborgh, 50.846630, 5.718813, 25PL
ROC Leiden, 52.166104, 4.480636, 25MA 
ROC Menso Alting, 53.201627, 6.568609, 14NZ
ROC Midden Nederland, 52.119649, 5.120854, 25LH  
ROC Mondriaan, 52.066801, 4.320337, 27GZ
ROC Nijmegen eo, 51.841268, 5.852238, 25PN
ROC Regio College, 52.435948, 4.806904, 25RA
ROC Rivor, 51.886155, 5.413304, 04CY
ROC Ter AA, 51.486398, 5.657470, 25LJ
ROC Tilburg, 51.540404, 5.078155, 25LZ
ROC van Amsterdam, 52.316360, 4.949919, 25PZ
ROC Flevoland, 52.392341, 5.277543, 25LR
ROC van Twente, 52.260476, 6.786554, 27YU
ROC West-Brabant Prinsentuin College, 51.599819, 4.802792, 21CY
ROC West-Brabant, 51.569913, 4.661589, 25LX
ROVC Technische opleidingen B.V., 52.026247, 5.640423
SBK Opleidingen B.V., 51.445773, 5.469739
Scalda, 51.310239, 3.857652, 25PV
Scheepvaart en Transport College, 51.901825, 4.461277 
Scheidegger Opleidingen Nederland B.V., 52.210481, 5.193244
De Rooi Pannen, 51.569665, 5.063423, 25LV
Scholings Trainings en Opleidings Centrum STOC B.V., 52.066498, 5.192556
SintLucas, 51.446671, 5.454638
Smink Culinair, 52.588738, 6.282214
SOMA College, 52.332298, 5.646616, 04NZ
Stichting Beroepsopleiding Procesindustrie (BEPRO), 52.070573, 4.397375 
Stichting De Nederlandse Fotovakschool, 52.210108, 5.973068
ROC TOP, 52.346656, 4.837247, 30RM
Stichting Vakopleiding Techniek,51.722176, 5.872159
Summa College, 51.466448, 5.496400, 25MB
SVO Opleidingen, 52.019902, 5.152010, 17WH
SVOZ Opleidingen in de Zorg, 52.115148, 5.106557
Terra opleidingen B.V., 52.131326, 4.595335
AOC Terra, 53.203229, 6.573831, 01NJ
Tio, 52.096154, 5.113214 
Trainings- en buitensportcentrum De Voshaar, 52.083216, 6.659838
VAKschool Pedagogisch Werk B.V., 52.017341, 4.354350
Variva Opleidingen, 51.383365, 5.708154
Veneberg Beveiligings Opl., 52.125420, 6.533531 
VIBO Groep VOF, 51.660662, 4.086772
Wellantcollege, 52.038823, 5.162414, 01OE
ROC Zadkine, 51.952376, 4.553383, 25LP
Zorg en Werk Academy, 52.020155, 5.677394
Zorgcampus Rotterdam, 51.915428, 4.446696
Zorgcollege, 51.922040, 4.489454
